pp_0000               5.5500003263E+04      5.0631105339E+05      104         1.0000000000E+00     
pp_0001               6.5500003851E+04      5.0631105339E+05      107         1.0000000000E+00     
pp_0002               7.5500004439E+04      5.0631105339E+05      107         1.0000000000E+00     
pp_0003               4.5500002675E+04      4.9631105280E+05      107         1.0000000000E+00     
pp_0004               5.5500003263E+04      4.9631105280E+05      107         1.0000000000E+00     
pp_0005               6.5500003851E+04      4.9631105280E+05      107         1.0000000000E+00     
pp_0006               3.5500002087E+04      4.8631105221E+05      205         1.0000000000E+00     
pp_0007               4.5500002675E+04      4.8631105221E+05      107         1.0000000000E+00     
pp_0008               5.5500003263E+04      4.8631105221E+05      107         1.0000000000E+00     
pp_0009               6.5500003851E+04      4.8631105221E+05      109         1.0000000000E+00     
pp_0010               3.5500002087E+04      4.7631105162E+05      205         1.0000000000E+00     
pp_0011               4.5500002675E+04      4.7631105162E+05      105         1.0000000000E+00     
pp_0012               5.5500003263E+04      4.7631105162E+05      106         1.0000000000E+00     
pp_0013               2.5500001499E+04      4.6631105104E+05      206         1.0000000000E+00     
pp_0014               3.5500002087E+04      4.6631105104E+05      207         1.0000000000E+00     
pp_0015               4.5500002675E+04      4.6631105104E+05      207         1.0000000000E+00     
pp_0016               2.5500001499E+04      4.5631105045E+05      206         1.0000000000E+00     
pp_0017               3.5500002087E+04      4.5631105045E+05      207         1.0000000000E+00     
pp_0018               4.5500002675E+04      4.5631105045E+05      207         1.0000000000E+00     
pp_0019               2.5500001499E+04      4.4631104986E+05      206         1.0000000000E+00     
pp_0020               3.5500002087E+04      4.4631104986E+05      207         1.0000000000E+00     
pp_0021               4.5500002675E+04      4.4631104986E+05      207         1.0000000000E+00     
pp_0022               2.5500001499E+04      4.3631104927E+05      306         1.0000000000E+00     
pp_0023               3.5500002087E+04      4.3631104927E+05      307         1.0000000000E+00     
pp_0024               4.5500002675E+04      4.3631104927E+05      207         1.0000000000E+00     
pp_0025               1.5500000911E+04      4.2631104868E+05      306         1.0000000000E+00     
pp_0026               2.5500001499E+04      4.2631104868E+05      307         1.0000000000E+00     
pp_0027               3.5500002087E+04      4.2631104868E+05      307         1.0000000000E+00     
pp_0028               4.5500002675E+04      4.2631104868E+05      307         1.0000000000E+00     
pp_0029               5.5000003233E+03      4.1631104810E+05      306         1.0000000000E+00     
pp_0030               1.5500000911E+04      4.1631104810E+05      307         1.0000000000E+00     
pp_0031               2.5500001499E+04      4.1631104810E+05      306         1.0000000000E+00     
pp_0032               3.5500002087E+04      4.1631104810E+05      309         1.0000000000E+00     
pp_0033               4.5500002675E+04      4.1631104810E+05      309         1.0000000000E+00     
pp_0034               5.5000003233E+03      4.0631104751E+05      306         1.0000000000E+00     
pp_0035               1.5500000911E+04      4.0631104751E+05      307         1.0000000000E+00     
pp_0036               2.5500001499E+04      4.0631104751E+05      609         1.0000000000E+00     
pp_0037               3.5500002087E+04      4.0631104751E+05      309         1.0000000000E+00     
pp_0038               4.5500002675E+04      4.0631104751E+05      306         1.0000000000E+00     
pp_0039               5.5000003233E+03      3.9631104692E+05      306         1.0000000000E+00     
pp_0040               1.5500000911E+04      3.9631104692E+05      307         1.0000000000E+00     
pp_0041               2.5500001499E+04      3.9631104692E+05      306         1.0000000000E+00     
pp_0042               3.5500002087E+04      3.9631104692E+05      306         1.0000000000E+00     
pp_0043               4.5500002675E+04      3.9631104692E+05      306         1.0000000000E+00     
pp_0044               5.5000003233E+03      3.8631104633E+05      306         1.0000000000E+00     
pp_0045               1.5500000911E+04      3.8631104633E+05      306         1.0000000000E+00     
pp_0046               2.5500001499E+04      3.8631104633E+05      306         1.0000000000E+00     
pp_0047               3.5500002087E+04      3.8631104633E+05      306         1.0000000000E+00     
pp_0048               4.5500002675E+04      3.8631104633E+05      304         1.0000000000E+00     
pp_0049               1.5500000911E+04      3.7631104575E+05      304         1.0000000000E+00     
pp_0050               2.5500001499E+04      3.7631104575E+05      306         1.0000000000E+00     
pp_0051               3.5500002087E+04      3.7631104575E+05      304         1.0000000000E+00     
pp_0052               1.5500000911E+04      3.6631104516E+05      304         1.0000000000E+00     
pp_0053               2.5500001499E+04      3.6631104516E+05      304         1.0000000000E+00
