name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK031,0.69897,0.75,-0.80103,2.19897,0.724705,0.746908,-0.769111,2.21852
HK032,0.69897,0.75,-0.80103,2.19897,0.72397,0.74326,-0.76255,2.21049
HK033,0.69897,0.75,-0.80103,2.19897,0.66494,0.748305,-0.831671,2.16155
HK034,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK035,0.69897,0.75,-0.80103,2.19897,0.599776,0.746252,-0.892728,2.09228
HK036,0.69897,0.75,-0.80103,2.19897,0.643429,0.748245,-0.853061,2.13992
HK037,0.69897,0.75,-0.80103,2.19897,0.606367,0.746899,-0.88743,2.10016
HK038,0.69897,0.75,-0.80103,2.19897,0.716674,0.744359,-0.772045,2.20539
HK039,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK040,0.69897,0.75,-0.80103,2.19897,0.680205,0.735862,-0.791518,2.15193
HK041,0.69897,0.75,-0.80103,2.19897,0.71851,0.747562,-0.776613,2.21363
HK042,0.69897,0.75,-0.80103,2.19897,0.687437,0.748723,-0.810008,2.18488
HK043,0.69897,0.75,-0.80103,2.19897,0.785219,0.745726,-0.706232,2.27667
HK044,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK045,0.69897,0.75,-0.80103,2.19897,0.738605,0.747834,-0.757063,2.23427
HK046,0.69897,0.75,-0.80103,2.19897,0.705528,0.74819,-0.790852,2.20191
HK047,0.69897,0.75,-0.80103,2.19897,0.661263,0.745619,-0.829974,2.1525
HK048,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK049,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK050,0.69897,0.75,-0.80103,2.19897,0.69578,0.748624,-0.801468,2.19303
HK051,0.69897,0.75,-0.80103,2.19897,0.704752,0.747653,-0.790555,2.20006
HK052,0.69897,0.75,-0.80103,2.19897,0.651967,0.747663,-0.843358,2.14729
HK053,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK054,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK055,0.69897,0.75,-0.80103,2.19897,0.618018,0.745406,-0.872793,2.10883
HK056,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK057,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK058,0.69897,0.75,-0.80103,2.19897,0.666089,0.747851,-0.829614,2.16179
HK059,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK100,0.69897,0.75,-0.80103,2.19897,0.682069,0.573848,-0.465628,1.82977
HK101,0.69897,0.75,-0.80103,2.19897,0.806197,0.745944,-0.685692,2.29808
HK102,0.69897,0.75,-0.80103,2.19897,0.470234,0.742884,-1.01553,1.956
HK103,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK104,0.69897,0.75,-0.80103,2.19897,0.754598,0.742443,-0.730287,2.23948
HK105,0.69897,0.75,-0.80103,2.19897,0.656024,0.740951,-0.825879,2.13793
HK106,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK107,0.69897,0.75,-0.80103,2.19897,0.557493,0.735682,-0.91387,2.02886
HK108,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK109,0.69897,0.75,-0.80103,2.19897,0.617481,0.745074,-0.872666,2.10763
HK110,0.69897,0.75,-0.80103,2.19897,1.0314,0.723053,-0.414701,2.47751
HK111,0.69897,0.75,-0.80103,2.19897,0.540583,0.745108,-0.949634,2.0308
HK112,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK113,0.69897,0.75,-0.80103,2.19897,0.737353,0.746131,-0.75491,2.22962
HK114,0.69897,0.75,-0.80103,2.19897,0.782912,0.743758,-0.704604,2.27043
HK115,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK116,0.69897,0.75,-0.80103,2.19897,0.63805,0.74577,-0.85349,2.12959
HK117,0.69897,0.75,-0.80103,2.19897,0.731486,0.747379,-0.763272,2.22624
HK118,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK119,0.69897,0.75,-0.80103,2.19897,0.746451,0.742277,-0.738102,2.231
HK120,0.69897,0.75,-0.80103,2.19897,0.810373,0.737682,-0.664991,2.28574
HK121,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK122,0.69897,0.75,-0.80103,2.19897,0.586274,0.745193,-0.904111,2.07666
HK123,0.69897,0.75,-0.80103,2.19897,0.653582,0.747535,-0.841488,2.14865
HK124,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK125,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK126,0.69897,0.75,-0.80103,2.19897,0.589364,0.744563,-0.899763,2.07849
HK127,0.69897,0.75,-0.80103,2.19897,0.744063,0.746569,-0.749074,2.2372
HK128,0.69897,0.75,-0.80103,2.19897,0.716555,0.74691,-0.777265,2.21037
HK129,0.69897,0.75,-0.80103,2.19897,0.677337,0.741039,-0.804741,2.15941
HK130,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK131,0.69897,0.75,-0.80103,2.19897,0.780708,0.743202,-0.705697,2.26711
HK132,0.69897,0.75,-0.80103,2.19897,0.654615,0.746991,-0.839366,2.1486
HK133,0.69897,0.75,-0.80103,2.19897,0.767664,0.746801,-0.725938,2.26127
HK134,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK135,0.69897,0.75,-0.80103,2.19897,0.709991,0.7481,-0.786209,2.20619
HK136,0.69897,0.75,-0.80103,2.19897,0.692149,0.748151,-0.804153,2.18845
HK137,0.69897,0.75,-0.80103,2.19897,0.673037,0.74811,-0.823184,2.16926
HK138,0.69897,0.75,-0.80103,2.19897,0.841387,0.741666,-0.641945,2.32472
HK139,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK140,0.69897,0.75,-0.80103,2.19897,0.675808,0.746893,-0.817979,2.16959
HK141,0.69897,0.75,-0.80103,2.19897,0.731131,0.742276,-0.753422,2.21568
HK142,0.69897,0.75,-0.80103,2.19897,0.7353,0.747855,-0.76041,2.23101
HK143,0.69897,0.75,-0.80103,2.19897,0.771147,0.740926,-0.710704,2.253
HK144,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK145,0.69897,0.75,-0.80103,2.19897,0.689583,0.746564,-0.803545,2.18271
HK146,0.69897,0.75,-0.80103,2.19897,0.698872,0.748298,-0.797724,2.19547
HK147,0.69897,0.75,-0.80103,2.19897,0.682566,0.74763,-0.812694,2.17783
HK148,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK149,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK150,0.69897,0.75,-0.80103,2.19897,0.647209,0.748182,-0.849156,2.14357
HK151,0.69897,0.75,-0.80103,2.19897,0.736589,0.747762,-0.758935,2.23211
HK152,0.69897,0.75,-0.80103,2.19897,0.723823,0.745869,-0.767916,2.21556
HK153,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK154,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK155,0.69897,0.75,-0.80103,2.19897,0.682426,0.745928,-0.80943,2.17428
HK156,0.69897,0.75,-0.80103,2.19897,0.772859,0.742274,-0.711689,2.25741
HK157,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK158,0.69897,0.75,-0.80103,2.19897,0.626579,0.74508,-0.86358,2.11674
HK159,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK200,0.69897,0.75,-0.80103,2.19897,1.00335,0.439039,0.125274,1.88143
HK201,0.69897,0.75,-0.80103,2.19897,0.893755,0.74339,-0.593025,2.38054
HK202,0.69897,0.75,-0.80103,2.19897,0.523008,0.741545,-0.960083,2.0061
HK203,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK204,0.69897,0.75,-0.80103,2.19897,0.942568,0.736436,-0.530303,2.41544
HK205,0.69897,0.75,-0.80103,2.19897,0.708165,0.745157,-0.78215,2.19848
HK206,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK207,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK208,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK209,0.69897,0.75,-0.80103,2.19897,0.581451,0.737566,-0.89368,2.05658
HK210,0.69897,0.75,-0.80103,2.19897,0.969852,0.734516,-0.499179,2.43888
HK211,0.69897,0.75,-0.80103,2.19897,0.461353,0.742429,-1.02351,1.94621
HK212,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK213,0.69897,0.75,-0.80103,2.19897,0.800521,0.733129,-0.665737,2.26678
HK214,0.69897,0.75,-0.80103,2.19897,0.75782,0.743641,-0.729462,2.2451
HK215,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK216,0.69897,0.75,-0.80103,2.19897,0.732522,0.744466,-0.756409,2.22145
HK217,0.69897,0.75,-0.80103,2.19897,0.602293,0.742751,-0.883209,2.08779
HK218,0.69897,0.75,-0.80103,2.19897,0.770229,0.739552,-0.708874,2.24933
HK219,0.69897,0.75,-0.80103,2.19897,0.73549,0.739543,-0.743596,2.21458
HK220,0.69897,0.75,-0.80103,2.19897,0.909943,0.708075,-0.506208,2.32609
HK221,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK222,0.69897,0.75,-0.80103,2.19897,0.660452,0.734744,-0.809036,2.12994
HK223,0.69897,0.75,-0.80103,2.19897,0.648544,0.744585,-0.840625,2.13771
HK224,0.69897,0.75,-0.80103,2.19897,0.860519,0.7146,-0.568682,2.28972
HK225,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK226,0.69897,0.75,-0.80103,2.19897,0.663691,0.734439,-0.805186,2.13257
HK227,0.69897,0.75,-0.80103,2.19897,0.766782,0.746725,-0.726668,2.26023
HK228,0.69897,0.75,-0.80103,2.19897,0.684198,0.745552,-0.806906,2.1753
HK229,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK230,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK231,0.69897,0.75,-0.80103,2.19897,0.672753,0.746839,-0.820925,2.16643
HK232,0.69897,0.75,-0.80103,2.19897,0.647613,0.745678,-0.843743,2.13897
HK233,0.69897,0.75,-0.80103,2.19897,0.669282,0.740672,-0.812062,2.15063
HK234,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK235,0.69897,0.75,-0.80103,2.19897,0.55519,0.744566,-0.933943,2.04432
HK236,0.69897,0.75,-0.80103,2.19897,0.635779,0.746137,-0.856494,2.12805
HK237,0.69897,0.75,-0.80103,2.19897,0.66097,0.747981,-0.834992,2.15693
HK238,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK239,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK240,0.69897,0.75,-0.80103,2.19897,0.499076,0.744385,-0.989695,1.98785
HK241,0.69897,0.75,-0.80103,2.19897,0.771926,0.746824,-0.721721,2.26557
HK242,0.69897,0.75,-0.80103,2.19897,0.821473,0.741512,-0.661552,2.3045
HK243,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK244,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK245,0.69897,0.75,-0.80103,2.19897,0.486106,0.743604,-1.0011,1.97331
HK246,0.69897,0.75,-0.80103,2.19897,0.700784,0.746972,-0.79316,2.19473
HK247,0.69897,0.75,-0.80103,2.19897,0.71838,0.747137,-0.775893,2.21265
HK248,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK249,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK250,0.69897,0.75,-0.80103,2.19897,0.575045,0.739553,-0.904062,2.05415
HK251,0.69897,0.75,-0.80103,2.19897,0.766659,0.727809,-0.68896,2.22228
HK252,0.69897,0.75,-0.80103,2.19897,0.637546,0.729808,-0.822069,2.09716
HK253,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK254,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK255,0.69897,0.75,-0.80103,2.19897,0.804588,0.727329,-0.650071,2.25925
HK256,0.69897,0.75,-0.80103,2.19897,0.689181,0.725104,-0.761027,2.13939
HK257,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK258,0.69897,0.75,-0.80103,2.19897,0.668525,0.676467,-0.684409,2.02146
HK259,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK300,0.69897,0.75,-0.80103,2.19897,0.78227,0.327969,0.126332,1.43821
HK301,0.69897,0.75,-0.80103,2.19897,0.796737,0.736272,-0.675807,2.26928
HK302,0.69897,0.75,-0.80103,2.19897,0.227283,0.721018,-1.21475,1.66932
HK303,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK304,0.69897,0.75,-0.80103,2.19897,1.03386,0.713961,-0.394058,2.46178
HK305,0.69897,0.75,-0.80103,2.19897,1.02659,0.681872,-0.337152,2.39034
HK306,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK307,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK308,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK309,0.69897,0.75,-0.80103,2.19897,0.637127,0.712272,-0.787417,2.06167
HK310,0.69897,0.75,-0.80103,2.19897,0.795258,0.729193,-0.663127,2.25364
HK311,0.69897,0.75,-0.80103,2.19897,0.358188,0.720497,-1.08281,1.79918
HK312,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK313,0.69897,0.75,-0.80103,2.19897,0.756379,0.723058,-0.689737,2.2025
HK314,0.69897,0.75,-0.80103,2.19897,0.7392,0.730843,-0.722487,2.20089
HK315,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK316,0.69897,0.75,-0.80103,2.19897,0.741913,0.72956,-0.717206,2.20103
HK317,0.69897,0.75,-0.80103,2.19897,0.746786,0.733347,-0.719907,2.21348
HK318,0.69897,0.75,-0.80103,2.19897,0.768005,0.734444,-0.700884,2.23689
HK319,0.69897,0.75,-0.80103,2.19897,0.629983,0.744233,-0.858484,2.11845
HK320,0.69897,0.75,-0.80103,2.19897,0.698249,0.678882,-0.659515,2.05601
HK321,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK322,0.69897,0.75,-0.80103,2.19897,0.73158,0.717319,-0.703058,2.16622
HK323,0.69897,0.75,-0.80103,2.19897,0.801029,0.735205,-0.669381,2.27144
HK324,0.69897,0.75,-0.80103,2.19897,0.702867,0.542984,-0.383101,1.78883
HK325,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK326,0.69897,0.75,-0.80103,2.19897,0.831064,0.713365,-0.595667,2.25779
HK327,0.69897,0.75,-0.80103,2.19897,0.695281,0.743274,-0.791266,2.18183
HK328,0.69897,0.75,-0.80103,2.19897,0.696739,0.73476,-0.772781,2.16626
HK329,0.69897,0.75,-0.80103,2.19897,0.65681,0.745416,-0.834022,2.14764
HK330,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK331,0.69897,0.75,-0.80103,2.19897,0.663131,0.744839,-0.826546,2.15281
HK332,0.69897,0.75,-0.80103,2.19897,0.699505,0.741548,-0.78359,2.1826
HK333,0.69897,0.75,-0.80103,2.19897,0.734528,0.742946,-0.751363,2.22042
HK334,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK335,0.69897,0.75,-0.80103,2.19897,0.341349,0.735297,-1.12925,1.81194
HK336,0.69897,0.75,-0.80103,2.19897,0.624431,0.742977,-0.861523,2.11039
HK337,0.69897,0.75,-0.80103,2.19897,0.808234,0.729146,-0.650059,2.26653
HK338,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK339,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK340,0.69897,0.75,-0.80103,2.19897,0.32498,0.734883,-1.14479,1.79475
HK341,0.69897,0.75,-0.80103,2.19897,0.776206,0.744344,-0.712481,2.26489
HK342,0.69897,0.75,-0.80103,2.19897,0.677147,0.746116,-0.815085,2.16938
HK343,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK344,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK345,0.69897,0.75,-0.80103,2.19897,0.32402,0.73556,-1.1471,1.79514
HK346,0.69897,0.75,-0.80103,2.19897,0.763677,0.744697,-0.725716,2.25307
HK347,0.69897,0.75,-0.80103,2.19897,0.693379,0.745008,-0.796637,2.18339
HK348,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK349,0.69897,0.75,-0.80103,2.19897,0.69897,0.75,-0.80103,2.19897
HK350,0.69897,0.75,-0.80103,2.19897,0.258277,0.732652,-1.20703,1.72358
